id	text	sentiment
11475	aaja yo dui jodi out huda dukha lagyo yo dui jodi bhanda nacchhna najanne haru top7 ma not good	Neutral
13216	beauty with dull brain vanne proved vayo 😁😀😁	Negative
27670	team ko anmol magne budo sahi hooo	Positive
15683	kasam frist mai saro majja aayo wow sebi aka yeti hase ma majale ammama kati maja aayo babal dance pani wow ❤️❤️❤️ bt renisa mam le 9 kam vo 🤔	Positive
16263	sab mc chor rw vrasta chari xan ..	Negative
16812	ko pni ramro voice raixa ani jamuna di ko pni ramro voice xa...abu chai hajur haru dui jana ko ewta diet song hunu parxai .....lots of love from india ❤ good luck for you ppk	Positive
24104	gabbaar is back again...... lop u gabbaar prajjwal g	Positive
26834	dheri khusi lgyo dai tapailai dhri dhnyabat dsi	Positive
12584	sir hajur la salaam ch good job sir	Positive
26681	last dami program yasto honi ta time pass	Positive
31762	police lai pni sangai duitailai tudikhel ma jhindaunu parx	Negative
16500	salam x nanu timi lai plz sakdo sahayo harau kirana pasal ki kholi diya hunx ama	Neutral
20312	ekdanai khusi xu gaurav akash n archana do ko vedio her pauda	Positive
15761	pokhreli ko sadbuddi palaos	Neutral
16948	katnu prx ysta xora lae 😠	Negative
14565	last year sanish ko fan vaako thiye ahile vote lok gajmer laai ho love u bro keep singing rock hjr out vyeshi t ma voice of ko episode herdaina hola hau big fan yll	Positive
26356	chindai nachinine kasto stars hun?	Neutral
14484	nepal pulice is fuukk	Negative
21023	yasto ramro dancing nai out vayapaxi aab herdina ma dancing aamar bika bahek 😢	Negative
15415	wow so nice interview 😍 full video herda face ma smiles aayo 😊	Positive
22046	abo sayad ma yo perfamence herdina ajabata kina ki mero best tem ra sabai vanda telent tem out huda ma nisabda vaara dherai dukha lagyo yar 😢	Neutral
27203	anjana g aaba testo nagarnu hai plz baru jasto aauxa testai garnu step bigre pani	Neutral
16852	yesta kukur more ni hunchha yesta kukurharule dherai chelibetiko ghar bigareka chhan .😭	Negative
22225	nibedan k ni be dan 😂	Neutral
25556	astaii x tani jindagi ekdammm swarti x hjr tara poni pir nagarnu usle paouxa vana hjr le paouxa bro	Neutral
23041	a takle hindu badi.isaiko kura nagar.come to the point..khate	Negative
20744	magne buda and keki best	Positive
27194	yeahoo dsarita lai godhhhh sabae lay	Negative
26780	-sathi ho naya aviyan!!!saugat sir facebook wall ma aayera jpt lekhne lai hajurharule dekhnuvayo vane sabaile aba dekhi id report garnuhola. sabaiko 1/1 report le birodhi thik banauna sakinx lets support the true leader of nepal saugat lawar ✊🙏	Positive
17740	gorox nayajati sabai dupliket tesaile sabaiko rojaima puranai baliyo hunx vanxn tesaile garox	Neutral
27019	sahi ho tyo dharahara haina ...tower nai ho view tower	Neutral
26742	corona lagxa ani gov la kai garana vana hun 😭	Neutral
18309	nwes 24 onflow aaba bta sabai le garnu hola	Negative
21723	harek word haru yeti ramro lagyo ki reecha di ko fan naii vaye too brilliant ❤️❤️	Positive
22076	arko season ma dance nai herer winner banaune ho vane jun yo addition bat aako 7 jana xan tya bat jasle jitxa arko dancing stars season 3 jitihalxa ni	Neutral
14199	v10 bhanda baru ali legendary band , old popular band ,pop singer , bolako bhaye huni.	Neutral
20957	oe mc gagan katwal mujhi ma tero fine hu bt tw mujhi mcc ko barema bolnu pardaena chikne.khali gaf mtra garne	Negative
20509	yo mg valu jathi	Negative
31245	parisham gharera khanu dherai ramro kura ho sister's himatt garnus	Positive
25046	prakash sir 🙏, tapaeko damdar boli sunda ma 🇳🇵 nepali vayeko ma garva lagx . congratulation sir .. 👏 im from south korea	Positive
16222	1 patak ni cut nagari hereko 1st interview 😊 lovely couple ❤️❤️	Positive
25014	asta grate savasdha laie parymenistar banaunu parha rastapate banaunu parcha ten jarod janata laa	Positive
18129	dampaty sukhit rahirahoss hajurharuko	Positive
26517	gyandendra sahi sirley kada dinu bho..kura sahi ho..100% true ❤️❤️	Positive
27807	no plz 😢 team vhima deserves to be winner 😭	Neutral
10523	sister u r so strong god help u i prey for u.afnu shrimati ko maya na hunda shiriman ko juta ko har lagai dinu thuk kasto husband.	Neutral
19988	hajur jasto leader oiley samma dekhaeko xna . all the best sir	Positive
31747	yesto mayr kina pahile ayna dai keep going	Neutral
21336	thula badako ma garnu ni raid.	Negative
17753	yo sow ma ac xain ki k.hoo shekhar ta pasinale nai nuhayeko xata	Negative
13731	you became my best rapper bro..sad to see your beginning of downfall..i had never expected this..aama buwalai samjaune ho bujaune kosis garne ho..	Neutral
21322	hunata conresh pani gatilota haina tara yo bisaylai liyra aako xh la badai xh conresh clapping conresh	Neutral
13438	saluted chha hajurlai you are the great man sir	Positive
14599	okel g sari man parayo	Positive
27365	oh my god kasto asal manchhe hou	Positive
22997	yasko ghatanako sampurna jimma sambandhit airlines le lilu parxa. second hand budy plane kharid gardai manxeko amulya jiban samapta parne ? jo jo sambandhit xa ajiban nilambit hos.	Neutral
12631	amit sir aajapani mero aakhabata aasu aayo yo video harara k garna sakinxa hamile yo bahini li kanuni tarikabata ? ra nani li naya hunuparxa amit sir hjr falo up video mali herna ma xa sir plz... ra ma hjr ko sabai video herxu ra hjr grate job garnu vako xa salut xa hjr li...	Positive
25580	anup bastola yeti yo rules lagu garne ho bane pheri aafno choro ko flim ma pani yehi rules regulations implement hunu paro 😠	Neutral
22708	ganaga karmacharya is great nepali lady salute for her.rip pradhanang corona should have to take her as soon as possible.	Negative
21058	pahela mayor ani prime minister banau nu parxa sumit lai	Positive
13249	wow wow babal lago .nabin g soch.❤️❤️❤️	Positive
24910	hi kirad brother god blese vai voice of nepal wenar hajur niii ho hooo	Positive
16318	melina's voice not for teej or look song...,,,, bishbu majhi ko vako vaya kya dami hunthyo..	Neutral
14923	hope c i'll understand about ftur not any more but headup u man n bro ajay bro lai poni khusi lagyo aafu la yo case lega ra	Neutral
23528	yo sab karmacharya ko educational background ho... hajurko tetibela ko question baseless thyo... we have educated netas... more than in india i guess..	Negative
16320	1din hjr ko ni din aauxa ✌	Neutral
24200	dherai comments herey sabaile vanx milera base ramro rey dhoti sanga 1 month moj gareko lai kasaile acpt garx mulaa muli haru arko video ni her jathiharu yesko attitude	Negative
19615	yeo standard matrtra ramro vyoo na ta janta ko hajarau question aayo na ta answer naii aayooo waste of 1 hr	Negative
17440	gire chor rip dhoti kuti rip india dhoti kuti rip dhoti kuti rip gire muge chor rip	Negative
31612	dr dwarika nath jyu ko good point rakhnu bhayo 100 + uk bata	Positive
31062	nachana birse pni agi badhaunu ali nahune ho tara anyway congrtatulations all teams	Neutral
12023	dash bach.mi.lae.satnu parxa prhari air meta.lae.dashi nachdhai xan khai samtna saknu hunxa	Neutral
16389	balaram dahal dahal parchand ko jhole rahi xan kura bata that lagxa hjr	Negative
18751	hajur sanga galat vayexa tara tapai jsto aruko carrier chai aabo bigrinu dinu hudaina tyo amrit lai kanuni roop ma sajay hunuparxw we support g bob bro	Neutral
14146	yo kam ko lagi denish g lai salute.but yo sala hukumbasi harulai lakhetera dada kataune ..	Negative
16182	one of the most best move make in nepal,even globally talk about thise move...nepali lai nepali lay nai agarii barna dinaa 😂...but move is one of the best move ever make in nepal, outstanding move	Positive
24371	desh ko nombar 1 chinal glaxcy 4k hd	Positive
20787	aachal ly xoder ramro lagen puza and santosh aaunuparo ❤️❤️	Neutral
12060	i want haribansa jee and ramila ma'am in next season. 💕	Neutral
26653	pokhara ma janu pardon rhex	Neutral
12742	he bhagman family ko sabai actor nai raxan 😡	Negative
26402	nepal lai maya garney sabai nepali bhasi lai dhanyabad good soongs..	Positive
17365	anmol singh ko acting hereta eye attack aako thiyo aba raj singh ko baani behwaar dekhera leg attack aaula jssto xa	Negative
16606	yo mata ley arko interview ma jhukkera plane crash vaneko ho	Neutral
27817	esto youtube channel lai boycot garau sabley help garnu bhanda afno channel chalauna ma dhyan paisa karauna ma dhyan.... esto idiotic behaviour ta dekhaunu bhaena ni	Negative
21442	nipesh sir le pani khubai hasaunu hunx 😁👌	Positive
12517	they should bring birja bhatta here	Neutral
16015	ctevt student sambandhi kunai news xaina ..? m	Neutral
22927	hjr sir hjr ko number pam na hjr	Neutral
11096	birami lai chack up garuda good hola bichara .	Neutral
11122	1:47 aba third time ni aunu huncha hola future ma 😂🤣	Neutral
24353	mero 1st comment in tamasoma jotirgamaya for lok regmi 👍🏻👍🏻👍🏻	Neutral
31707	marne laii fasi dey sarkar	Negative
26995	yo aaimai runxe pap le ek din	Negative
15752	thuka xixi kuti nai gathilo	Negative
11161	nepal 🇳🇵 goss aaba ke hunccha. sabai jana judge 👨‍⚖️	Neutral
13707	aaja hajurko kuraa sunda atinahi khusi lagyo miss you 💗 ganesh sir.	Positive
17108	yesko followup garnu parxa	Neutral
22334	kati saral personality sandesh jee ko , we are with you, ramro kam garnu hola 🙏	Positive
15879	blue shirts laguna chai haaawaaaaa salaaaaa	Negative
12565	civil engineer ho ni ....brilliant idea	Positive
10106	hami kun hospital ma janu thik huncha vandinu n plz chechup ko laagi	Neutral
24009	wow rahisha what hardwork , soni you must be humble, never be over smart , ratnaparkma mike bokera sex garyo ki nai vergin ho ki nai vaneko jasto hoina national television ma performance gardai ho so be professional	Negative
24124	aba nepal lai new generation leader chaincha chaincha	Neutral
27784	neta haru sab corrupt xan nepal ma...	Negative
15648	bunu dui jana nai afno afno pradiba xa keep it up.....god bless both of you....	Positive
24201	yo manxe dherai bachdai jasto xa face herda tw	Neutral
10701	k.p pandey is an absolute leader in nepal.	Positive
15759	dat balatkar huda kina gaana police casema	Negative
24461	k ta lai pata pharkaunu parla kapil sir	Negative
13602	kti ko bf raich	Neutral
12081	yo police haru laii thulo paap lagni xa	Negative
11799	yo patrakaar poni ksto laato raixa yrr	Negative
26429	sahi ho deena is best ho k dherai hero harulai support garnu vaxa wahale	Positive
16486	yest bolnu ko lagi course hunchha ( method of instruction) mod	Neutral
27226	nice video vai me from pokhara 🙏	Positive
18509	wow wow wow rupesh ko jadi ko dance jati here ni heru heru lageyo	Positive
18912	be strong sujan ji... we are with you 😍❤️	Neutral
27207	kati ramro bichar hajurko baheni... always god bless u further...	Positive
14387	thukka tero jindagi mlai mnn naparne rapper xiiii	Negative
20316	english bolya dekhera jhyau lagyo nepakima interview diyenibhunx ni	Neutral
23016	raja aunuhaos desh bachauonu haos,47,sal ko bidhan lyaunuhas.from jest nagarik.bhairahwa.	Neutral
10023	futera k huncha kamal sapkota jasto huncha halat 😅 point to b noted 😅	Negative
12497	bangla desh gool kiping very strong anjana rana same same	Positive
25042	really vten is impressive	Positive
31114	mgr jatiko, btname greko saram xoina,!	Negative
21589	prakash ko biswas garnu nai congress ko bhul ho	Negative
11160	dai plz chora ko pani interviews lunu na plz haii bhai. ko pani bole suna mann xa hamlai 🙏😭	Neutral
17226	facebook bata tyasari blackmail bhako manchhe ko ajhai 3 wata facebook id 🙄....24 ghanta onln tiktok 🙄	Negative
13066	birat chaudhary is legend.	Positive
15845	we can do hopefully...mr ganendra sahi	Positive
27090	my best couple 😍😘 kolai kolai man parxa yo jodi	Positive
14879	yo hosting pani bastola koo support maa boldai xaa jasto xaa hoo	Negative
26265	yati vanxu gali person laii garnus cast laii hoina plz 🙏	Neutral
10385	dipendra is jhole of maobadi party	Negative
17970	brainwashed kasto nice way bata garnu vayo sir la hatsoff to you...sabai politician bata wakka vako sound suniyako xa...hota vanna tw k k vanxan vanxan but garnu paryo ne 😍	Positive
21278	yo randiko xoro dhoti mothersfuckers	Negative
19983	ramrwo. bwolnuvax. yo. dari baa. ly. ali. baybarik. hoinxan	Positive
16109	download hune gari halnu nih dance start inter teem	Neutral
25205	yashko matlab to pali ko winner ho best of luck bro..	Positive
26311	yo tori putrkar 😆🤣	Negative
22227	mc buda ghanta ko tero woda mg budo 😠	Negative
10494	wau dami xa geet ani jodi 👍	Positive
27758	wow birat bhai ❤	Positive
25651	next episode ma mrbvlog & ahmed dullah dai lai bolaunu paryo	Neutral
23748	dhoka ma handa dhaka ko chukul kin khai hudin sab jut ho dhaka lock thyn ho la	Neutral
24471	abe kinemaster vaneko vdo editing garne euta software ho na ki face change garne...	Neutral
18890	dahi chiure media boom tesarera matra hunxa kehi bolna naaaune	Negative
11400	kahile samma yasto natak hau	Negative
10727	you will get soon nobel prize for most expensive bike of the world. na chahido kura na gar. yo vand ni mahngo bike ma sit xa. 2020 maa review garne xu tab samm ko lagi have nice day	Negative
24330	great thinking aliza mam ❤ n durgesh sir we r waiting for ur video	Positive
31383	world 100 woman award paunu parne manxe givina sisters god job sister go ahead .	Positive
14163	guf ko each n every words ma fake dakx	Negative
24978	denish sir j.c.b ko sankhya badaunu paryo. 1 wata j.c.b le vyayan.	Neutral
15995	aha nepali nepali ma sano jaat rw thulo jaat vanerw kati premi haru ko nachaherw poni brkup vx bt indian rw nepali ko love successful vayo congratulation guyzz god sap ko maya successful hos 🙏 please this is my last wish 🖤	Neutral
27625	yo kt haru dheree mattinx sukha payo vne	Negative
22793	tyo 1.6k dislike garney chai tyo sala chora haruko santaan ho kya ho 😤	Negative
11873	anmol &suhana vanne bittikai jun pani interview herxuh aaja salon pani dekhani bittikai hereko jhan kati dhila aaunu va salon cut garera herna ni man manena tq dhila vaina. dekhana paiyo sangai 3janalai nai ❤️❤️❤️	Positive
19301	mero man parne jodi nd sadaii instagram ma sabaii video photo nd story herera naii din bitxa 💜❤️❤️❤️	Positive
17232	kshitiz ji go ahead aba palo youth ko ho yo sanceless manxe le country lead garni haina .god bless you	Negative
26456	yesto mula so nplko thiukka vanba mn lgyo amr bika tam out???	Negative
10223	ye daju le kati hepera bolthe.... lila sanga kasto respectful, courteous para le interview leko.... khusi lagyo 🤭❤	Positive
20248	😭 yo videos heryar sirani rujyo	Neutral
20102	aaile samma capable koi chaina iniharu…….boleko sunda dherai talent and bidwan jasto lagney but sense of analysis and visionary koi chaina hai……….	Negative
26877	dami dai r...bhaju ko jodi dami xa dai ma pani europe ko romania ma xu hal la dai bhaju love iglaife hoss la	Positive
18101	k ko ghanta ko comparison. most of all nepali le rajesh hamal lai super star manxan industry vitraka	Negative
13770	balla aja herna paiyoo yo program i am with ekaraj thapaliya	Neutral
23422	sahi ho love this man....	Neutral
12315	thu yesto mancha ko ke kukur ho	Negative
27530	sangeeta di n rabita dubai janale sahi kura bhako ma heardaye dekhi dhannyabad bhanna chaye sattey abasey jeet hunexa hami 3crore nepali janta hamesha prayas shah sath xau our real hero prayas be strong 💪🏻 we love you forever 💓	Positive
14737	be strong amrit didi 😪	Neutral
10433	summima di's team is always best	Positive
18155	live nadine raxa k faida vo ra subscribe garer	Negative
23801	khate bhatta bhusya kukur balla thikka paryo 😅 gyanedra sahile mtr thik paryo k 😅😂	Negative
19764	mantri haru ko body guard = 4000 jana army	Negative
21188	no mcc murdabad kharej garnu parchha go back america	Negative
25268	good job dai haruu...you are legend..👍️👍️👍️	Positive
12850	tehi kahe ko hunu parxa xeto vanda xeto pata launu paro polc sir	Neutral
24137	k ho yesto kahile ko khel ko video haleko halne baye live garnu paro aaru desh ko chai live aafno desh chai good bye 😡	Negative
19728	mata doctor lai herna aako huge crush on him 🥺❤	Positive
26786	java ki lawer mai vaniyako x ki under18 nabalima hun jati sukai janne hos jati sukai talent hos its doesn't matter yesto kura ma nabalika le chana rakhda pani manoj le abhibhavak banera sudharna sakinx kina manoj le nai yesto harkat gareko ta	Neutral
10483	pradip dada ramro xan unko mami and family best family	Positive
11402	yo mero nya chennl ho ramra geet haruu xn like comment share suscrive gridinuu holaa	Neutral
11838	over confident kto chai xixixix	Negative
19436	kina yeti dherai insecure xa aafno personal life dekhi? did you notice that	Neutral
19920	wow sonice family but sarai aakha bata aasu aayo	Neutral
31677	that is why national innovation centre is important!! yo netajiu heru le koile bujne	Neutral
20972	god bless you babu 😇🥰 kati mitho boli voice ta jhan amazing ......👍💕	Positive
22632	"purano neta ley yo begti bata kei sikyo vaney tesma nepali janta ko faeda xa! binit dhungana is / was 2000% right that ki "" if i have to learn politics then i will visit dharan to learn from ankit rokka"""	Neutral
13527	suruma dislike hanneko hatma kira paros pakkai vrasta apradhi hun	Negative
10617	khul ko ekaraj muji	Negative
11088	billa vayexani ta haw interview linenemanxewkk tah hahahaha 😂🤣😂😁🤣😂🤣	Negative
31449	raja , khaja khohi chaidaina just we need good leaders for contry that’s it	Neutral
10759	laj lagena feri tv ma aauda	Negative
24843	jenny di hjr le sochay ko chaheko pugosss god bless u...	Positive
18804	ani sushil bro guest ma basda ni kasto hosting nai gare jasto lagne. might be hajurko hosting bachhai dekhi herera hola 😄	Positive
14173	maja aayo intervew herera anmol ta king nai ho suhana rising star salon ko big fyan bachai dekhi 🔥🌟 amh4 blokbaster 🤟	Positive
21838	you are 100% rt god bless you galat samachar lekhne ra parsaran garne lai sakta kanuni karbai hunu parchha	Positive
11913	not only reengineeer... he need gukhane team 🥱	Negative
20919	a mero hajur film ekdam ramro xa badai xa dubai jana lai ❤️❤️❤️	Positive
15509	fauj ma service sabai le garcha tara afno family lai awareness ko kura alert garnu parcha.family lai alert garaunu jaroori cha	Neutral
19281	thank you for this video i learn something from this video from - melina shrestha class 4 from ideal model high secondary school 🏫	Positive
24797	sabai star haru chine janekai hununx but chhiring g chai chineko thina 🙏 sabai jana man parxa but my favorite ekaraj praja ❤ so team rojring and team prikhar ❤🔥	Positive
15897	prem geet move hindi ma chalnu parxa kita bidesi sambandhi kai pani use na garne	Negative
24967	nice studio 😀 op sir	Positive
23388	tallent sister ! helpfull father lagyo ! thank you !	Positive
18691	nepal ko kanun ani danthe haru 👊😡🖕 sakxas thulo thulo balatkari bhastachari lai samatna 🖕	Negative
12579	same same umer ko ba garnu ni life ramro hunxa	Neutral
26057	thukka mugi aila falni.... mc khata haru... i want to give a damn to police n media..... media karmi haru..... police ko saath ma hoina 2 number garni lai direct gara na.... saab police hos ya media ya janta sajha parasi yehi chainxa saap lai... paila aafai pabitra hunu ani garib manxa haru lai na darauni 🖕	Negative
27332	hajur ko husband xitai vet hos	Neutral
27495	god plzz jasri vaye pni yo jodilae na xutaedeu 🙏😭	Neutral
18149	tehi daat t..qt xa rana srr	Positive
19551	just like bravo delta, my view on laxman parajuli has changed a little.	Neutral
17629	verry good sahi kura garnu bhayo	Positive
13778	cristian le aba des sakine vayo	Negative
19666	alina g ko voice malai dherai man parx	Positive
14735	king cobra ho king cobra	Neutral
20644	kun kukur ho tyo dislike garne. best of luck specially xori lai aaudo din yo vanda ramro hosh hoi 👌😍	Negative
19307	rip daura suruwal wala	Negative
20895	yo gitt chalirada gest ko rool ma chai niruta sing lai bolako baye akdam best hunthe	Neutral
11825	sanjaira good 👍 work 👏 👌 🙌	Positive
15129	ksm kt laii maney mahile xi	Positive
31177	great vision 🙏. bato ma thukne ra fohor bato ma fiyalne lai nrs 1000 - 10000 fine tiraune naya law pass garnu parxa ani matra nepal clean hunxa 🇳🇵🇳🇵	Positive
11596	aru kehi ni hai sishir dai nepal ko one of the best super star hunxa ani anumol ko name harauxa bhanera tesko gad jaleko ho	Neutral
15514	g bob p hunu paryo esko naam best of the best psycho	Negative
22804	moile dherai interviu here vten ko tara sabai interviu man porxa	Positive
12185	drugs lini jsto xa yo mnxe	Negative
10085	team anuj is always best amar amrit and kamal khatri deserve the winner this show 💪❤️plz gyes vote for anuj 🙏	Positive
17582	10 % pahadi muslim le burka laux	Neutral
17225	yesto khate show aaja bata herdinu kunay pani reality show,talant ko kunay kadar chhina ani lhate fhor haru	Negative
24670	jaabo blind audition ma selecte huda pani kina yetro chatak ho, yo patrukar haru sanga aru content hunna ra vanya 😂 we all know this guy sang so great but ekkassi nachaine hype nadeu	Negative
20263	shame on nepali bikas bord.	Negative
23861	sarlakai setto manxe it’s true	Neutral
26024	teso vani 32 inch vanda thula tv pani free garna parni ho ajai.	Neutral
25019	katti mitho bolai, suvakamana.	Positive
11059	prabakta shree saugat shai is real king of future 🇳🇵nepal	Neutral
15449	temi keena sochdenau jhole	Neutral
26768	suru ko 5 mnts ny enough xa parashmani sir .salam xa sir	Positive
27246	sumit subedi boka mula rajniti dherai vho, rajinama dey vatuwa, good luck prem geet 3 team.	Negative
10683	bijog mathi haribijog heid	Negative
31848	plz yo didi ko number dinu m nepal ay paxi sakdo help garxu plz	Neutral
